foodname,エネルギー(kcal),タンパク質(g),脂質(kcal),脂肪酸 飽和(g),n-6系 多価不飽和(g),n-3系 多価不飽和(g),炭水化物(g),食物繊維 総量(g),ビタミンA(μg),ビタミンD(μg),ビタミンE(mg),ビタミンK(μg),ビタミンB1(mg),ビタミンB2(mg),ナイアシン(mg),ビタミンB6(mg),ビタミンB12(μg),葉酸(μg),パントテン酸(mg),ビオチン(μg),ビタミンC(mg),ナトリウム(mg),カリウム(mg),カルシウム(mg),マグネシウム(mg),リン(mg),鉄(mg),亜鉛(mg),銅(mg),マンガン(mg),ヨウ素(μg),セレン(μg),クロム(μg),モリブデン(μg)
grilled_cheese_sandwich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
red_velvet_cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheesecake,315.0,5.44,219.24,14.43,0.79,0.17,16.96,0.18,214.19,0.5,0.77,9.54,0.04,0.15,0.1,0.02,0.23,11.41,0.43,4.43,1.0,121.7,66.82,41.26,6.0,69.38,0.42,0.49,0.01,0.04,3.84,5.96,0.29,3.79
grilled_salmon,110.0,18.0,32.4,0.65,0.09,0.74,0.08,0.0,21.6,26.4,1.04,0.0,0.21,0.12,4.8,0.33,7.52,10.4,0.98,0.0,0.0,45.6,304.0,8.0,24.8,208.0,0.32,0.4,0.06,0.01,0.0,0.0,0.0,0.0
risotto,416.0,9.79,200.34,7.69,1.17,0.12,40.05,2.68,105.63,0.16,2.33,37.53,0.19,0.27,3.96,0.31,0.54,57.07,1.28,3.61,30.3,2180.73,581.16,106.72,45.49,214.06,1.52,1.55,0.27,0.54,0.78,2.91,0.43,38.93
cheese_plate,61.0,4.09,42.12,2.88,0.07,0.03,0.23,0.0,46.8,0.0,0.2,0.36,0.01,0.07,0.02,0.0,0.58,4.86,0.03,0.0,0.0,198.0,10.8,113.4,3.42,131.4,0.05,0.58,0.01,0.0,0.0,0.0,0.0,0.0
guacamole,21.0,0.36,17.1,0.32,0.2,0.01,1.32,0.64,3.63,0.0,0.38,0.2,0.01,0.02,0.25,0.03,0.0,10.19,0.19,0.69,2.58,81.47,92.26,2.59,4.46,8.53,0.13,0.09,0.02,0.02,0.03,0.18,0.01,0.38
samosa,149.0,4.49,85.32,1.25,3.0,0.56,10.86,1.03,5.93,0.0,1.13,16.7,0.03,0.03,1.24,0.18,0.03,8.3,0.37,0.59,5.55,87.46,138.62,12.03,11.82,33.92,0.64,0.25,0.05,0.12,0.16,3.47,0.97,3.44
chicken_curry,857.0,29.95,317.43,14.22,4.02,0.38,97.4,3.47,151.28,0.22,2.01,89.2,0.27,0.33,8.46,0.54,0.54,49.32,3.26,11.29,14.38,1756.61,808.42,118.23,84.21,381.88,4.4,4.02,0.38,1.47,6.02,22.41,3.58,86.71
gyoza,236.0,8.52,87.48,2.66,1.64,0.08,28.56,0.0,15.6,0.0,0.24,0.0,0.11,0.12,0.96,0.0,0.0,0.0,0.0,0.0,7.2,588.0,240.0,36.0,0.0,84.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sashimi,888.0,126.86,323.37,8.82,1.03,6.7,3.38,0.0,209.09,31.23,7.56,2.52,0.69,0.86,56.44,2.87,23.55,80.79,3.5,22.63,6.76,602.11,2000.57,57.76,229.83,1287.7,5.67,5.21,0.69,0.06,80.91,369.07,3.09,0.8
chicken_quesadilla,233.0,8.58,81.9,4.34,1.08,0.2,26.97,0.9,65.0,0.0,0.64,3.9,0.05,0.12,0.29,0.0,0.8,10.03,0.24,0.44,0.0,431.7,56.84,165.62,9.27,207.24,0.3,0.92,0.04,0.16,0.0,2.1,0.68,4.5
hamburger,422.0,20.8,171.72,5.42,2.8,0.46,39.7,2.36,33.06,0.22,1.84,16.23,0.15,0.24,4.15,0.35,1.11,50.08,1.38,3.43,8.46,706.89,446.9,41.89,39.02,206.7,2.62,3.69,0.22,0.33,1.75,3.87,0.66,2.4
scallops,79.0,14.85,8.91,0.2,0.01,0.13,1.65,0.0,25.3,0.0,0.99,1.1,0.06,0.32,1.87,0.08,12.54,95.7,0.73,0.0,3.3,352.0,341.0,24.2,64.9,231.0,2.42,2.97,0.14,0.13,0.0,0.0,0.0,0.0
chicken_wings,211.0,17.5,131.4,4.21,2.03,0.15,0.0,0.0,59.0,0.1,0.3,51.0,0.04,0.11,4.8,0.27,0.3,9.0,1.01,0.0,2.0,76.0,180.0,10.0,14.0,100.0,0.5,1.2,0.03,0.01,0.0,0.0,0.0,0.0
hot_and_sour_sou,55.0,4.24,18.0,0.46,0.5,0.04,4.51,0.64,11.51,0.29,0.16,3.42,0.25,0.11,2.23,0.11,0.09,14.74,0.61,2.89,1.09,1226.57,238.91,17.43,20.05,97.39,0.48,0.39,0.04,0.11,1.37,2.85,0.43,4.03
seaweed_salad,70.0,3.06,3.06,0.02,0.02,0.0,16.87,4.65,97.58,9.69,1.57,37.4,0.12,0.07,1.64,0.14,0.02,63.55,0.39,4.02,26.34,1676.13,606.86,62.11,74.25,83.65,0.77,0.39,0.07,0.17,50.56,1.64,0.0,3.37
chocolate_cake,438.0,5.76,270.81,17.55,1.14,0.15,35.81,1.34,241.84,0.77,0.77,10.79,0.05,0.2,0.3,0.04,0.3,13.65,0.67,6.71,0.0,52.11,201.24,73.39,25.52,116.29,1.19,0.75,0.21,0.1,5.98,8.35,3.2,3.71
hot_dog,414.0,14.07,198.0,6.89,3.14,0.22,39.58,1.57,11.27,0.24,1.41,9.51,0.24,0.13,2.03,0.16,0.25,39.64,0.86,2.68,7.32,1062.8,262.24,46.94,35.98,180.27,1.51,1.71,0.16,0.35,0.36,8.46,0.82,2.46
shrimp_and_grits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate_mousse,369.0,5.38,229.14,14.58,0.93,0.11,28.85,1.49,143.51,0.84,0.65,7.97,0.08,0.26,0.47,0.05,0.22,14.87,0.9,7.9,0.0,56.4,209.9,115.21,31.35,137.46,1.28,0.9,0.22,0.16,12.24,8.63,9.42,8.4
huevos_rancheros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spaghetti_bolognese,298.0,11.21,132.75,0.0,0.0,0.0,29.8,0.0,144.55,0.0,0.0,0.0,0.41,0.15,4.13,0.0,0.0,0.0,0.0,0.0,17.7,1799.5,737.5,50.15,0.0,138.65,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
churros,149.0,2.83,44.37,1.92,0.83,0.13,22.67,0.52,24.31,0.13,0.36,3.84,0.02,0.04,0.2,0.01,0.05,5.17,0.22,1.86,0.21,31.91,31.5,13.89,4.95,26.38,0.38,0.22,0.03,0.3,1.05,6.94,0.45,4.49
hummus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spaghetti_carbonara,779.0,26.32,355.41,15.72,5.65,0.81,72.38,3.76,214.82,1.18,2.21,25.84,0.26,0.41,1.92,0.15,0.89,32.59,1.59,16.35,7.01,1578.09,173.85,179.86,60.68,342.64,2.58,3.25,0.37,0.0,10.41,86.63,2.81,34.22
clam_chowde,369.0,10.7,195.75,10.94,1.74,0.31,32.03,2.54,284.9,0.49,1.18,10.59,0.17,0.31,2.06,0.28,25.61,39.28,1.46,14.74,29.41,1446.17,675.92,197.6,83.26,233.56,2.44,1.46,0.17,0.28,47.29,23.28,5.37,14.11
